score,title,word,sentence
19,Little Red Riding Hood,little,Once upon a time there lived in a certain village a little country girl  the prettiest creature who was ever seen  ~newline~ This good woman had a little red riding hood made for her  ~newline~ One day her mother  having made some cakes  said to her   Go  my dear  and see how your grandmother is doing  for I hear she has been very ill  Take her a cake  and this little pot of butter   ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~ The wolf ran as fast as he could  taking the shortest path  and the little girl took a roundabout way  entertaining herself by gathering nuts  running after butterflies  and gathering bouquets of little flowers  ~newline~  Your grandchild  Little Red Riding Hood   replied the wolf  counterfeiting her voice   who has brought you a cake and a little pot of butter sent you by mother   ~newline~ Little Red Riding Hood  hearing the big voice of the wolf  was at first afraid  but believing her grandmother had a cold and was hoarse  answered   It is your grandchild Little Red Riding Hood  who has brought you a cake and a little pot of butter mother sends you   ~newline~ The wolf  seeing her come in  said to her  hiding himself under the bedclothes   Put the cake and the little pot of butter upon the stool  and come get into bed with me  
14,Little Red Riding Hood,wolf,As she was going through the wood  she met with a wolf  who had a very great mind to eat her up  but he dared not  because of some woodcutters working nearby in the forest  ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~ said the wolf  Oh I say   answered Little Red Riding Hood   it is beyond that mill you see there  at the first house in the village   ~newline~  Well   said the wolf   and I ll go and see her too  ~newline~ The wolf ran as fast as he could  taking the shortest path  and the little girl took a roundabout way  entertaining herself by gathering nuts  running after butterflies  and gathering bouquets of little flowers  ~newline~ It was not long before the wolf arrived at the old woman s house  ~newline~  Your grandchild  Little Red Riding Hood   replied the wolf  counterfeiting her voice   who has brought you a cake and a little pot of butter sent you by mother   ~newline~ The wolf pulled the bobbin  and the door opened  and then he immediately fell upon the good woman and ate her up in a moment  for it been more than three days since he had eaten  ~newline~ Little Red Riding Hood  hearing the big voice of the wolf  was at first afraid  but believing her grandmother had a cold and was hoarse  answered   It is your grandchild Little Red Riding Hood  who has brought you a cake and a little pot of butter mother sends you   ~newline~ The wolf cried out to her  softening his voice as much as he could   Pull the bobbin  and the latch will go up   ~newline~ The wolf  seeing her come in  said to her  hiding himself under the bedclothes   Put the cake and the little pot of butter upon the stool  and come get into bed with me   ~newline~ And  saying these words  this wicked wolf fell upon Little Red Riding Hood  and ate her all up  ~newline~ Moral  Children  especially attractive  well bred young ladies  should never talk to strangers  for if they should do so  they may well provide dinner for a wolf  ~newline~ I say  wolf   but there are various kinds of wolves 
13,Little Red Riding Hood,grandmother,Her mother was excessively fond of her  and her grandmother doted on her still more  ~newline~ One day her mother  having made some cakes  said to her   Go  my dear  and see how your grandmother is doing  for I hear she has been very ill  Take her a cake  and this little pot of butter   ~newline~ Little Red Riding Hood set out immediately to go to her grandmother  who lived in another village  ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~ The good grandmother  who was in bed  because she was somewhat ill  cried out   Pull the bobbin  and the latch will go up   ~newline~ He then shut the door and got into the grandmother s bed  expecting Little Red Riding Hood  who came some time afterwards and knocked at the door  tap  tap  ~newline~ Little Red Riding Hood  hearing the big voice of the wolf  was at first afraid  but believing her grandmother had a cold and was hoarse  answered   It is your grandchild Little Red Riding Hood  who has brought you a cake and a little pot of butter mother sends you   ~newline~ She was greatly amazed to see how her grandmother looked in her nightclothes  and said to her   Grandmother  what big arms you have  
11,Little Red Riding Hood,hood,This good woman had a little red riding hood made for her 
11,Little Red Riding Hood,riding,This good woman had a little red riding hood made for her 
11,Little Red Riding Hood,red,This good woman had a little red riding hood made for her  ~newline~ As she was going through the wood  she met with a wolf  who had a very great mind to eat her up  but he dared not  because of some woodcutters working nearby in the forest  ~newline~ said the wolf  Oh I say   answered Little Red Riding Hood   it is beyond that mill you see there  at the first house in the village   ~newline~ Little Red Riding Hood  hearing the big voice of the wolf  was at first afraid  but believing her grandmother had a cold and was hoarse  answered   It is your grandchild Little Red Riding Hood  who has brought you a cake and a little pot of butter mother sends you   ~newline~ Moral  Children  especially attractive  well bred young ladies  should never talk to strangers  for if they should do so  they may well provide dinner for a wolf 
7,Little Red Riding Hood,see,Once upon a time there lived in a certain village a little country girl  the prettiest creature who was ever seen  ~newline~ One day her mother  having made some cakes  said to her   Go  my dear  and see how your grandmother is doing  for I hear she has been very ill  Take her a cake  and this little pot of butter   ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~ said the wolf  Oh I say   answered Little Red Riding Hood   it is beyond that mill you see there  at the first house in the village   ~newline~  Well   said the wolf   and I ll go and see her too  ~newline~ I ll go this way and go you that  and we shall see who will be there first   ~newline~ The wolf  seeing her come in  said to her  hiding himself under the bedclothes   Put the cake and the little pot of butter upon the stool  and come get into bed with me   ~newline~ She was greatly amazed to see how her grandmother looked in her nightclothes  and said to her   Grandmother  what big arms you have   ~newline~  All the better to see with  my child  
7,Little Red Riding Hood,go,This good woman had a little red riding hood made for her  ~newline~ Little Red Riding Hood set out immediately to go to her grandmother  who lived in another village  ~newline~ As she was going through the wood  she met with a wolf  who had a very great mind to eat her up  but he dared not  because of some woodcutters working nearby in the forest  ~newline~ He asked her where she was going  ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~  Well   said the wolf   and I ll go and see her too  ~newline~ I ll go this way and go you that  and we shall see who will be there first   ~newline~ The good grandmother  who was in bed  because she was somewhat ill  cried out   Pull the bobbin  and the latch will go up   ~newline~ The wolf pulled the bobbin  and the door opened  and then he immediately fell upon the good woman and ate her up in a moment  for it been more than three days since he had eaten  ~newline~ He then shut the door and got into the grandmother s bed  expecting Little Red Riding Hood  who came some time afterwards and knocked at the door  tap  tap  ~newline~ The wolf cried out to her  softening his voice as much as he could   Pull the bobbin  and the latch will go up   ~newline~ Little Red Riding Hood took off her clothes and got into bed  ~newline~  Grandmother  what big teeth you have got  
6,Little Red Riding Hood,big,Little Red Riding Hood  hearing the big voice of the wolf  was at first afraid  but believing her grandmother had a cold and was hoarse  answered   It is your grandchild Little Red Riding Hood  who has brought you a cake and a little pot of butter mother sends you   ~newline~ She was greatly amazed to see how her grandmother looked in her nightclothes  and said to her   Grandmother  what big arms you have   ~newline~  Grandmother  what big legs you have   ~newline~ Grandmother  what big ears you have   ~newline~  Grandmother  what big eyes you have   ~newline~  Grandmother  what big teeth you have got  
6,Little Red Riding Hood,said,One day her mother  having made some cakes  said to her   Go  my dear  and see how your grandmother is doing  for I hear she has been very ill  Take her a cake  and this little pot of butter   ~newline~ The poor child  who did not know that it was dangerous to stay and talk to a wolf  said to him   I am going to see my grandmother and carry her a cake and a little pot of butter from my mother   ~newline~ said the wolf  Oh I say   answered Little Red Riding Hood   it is beyond that mill you see there  at the first house in the village   ~newline~  Well   said the wolf   and I ll go and see her too  ~newline~ The wolf  seeing her come in  said to her  hiding himself under the bedclothes   Put the cake and the little pot of butter upon the stool  and come get into bed with me   ~newline~ She was greatly amazed to see how her grandmother looked in her nightclothes  and said to her   Grandmother  what big arms you have  
