score,title,word,sentence
19,Rumplestiltskin,little,A little man stepped inside and said   Good evening  Mistress Miller  why are you crying so   ~newline~ The little man said   What will you give me if I spin it for you   ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ Once again the door opened  and the little man appeared  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel  ~newline~ When the girl was alone the little man returned for a third time  ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ In return the little man once again spun the straw into gold  ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised   ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ After each one the little man said   That is not my name   ~newline~ She recited the most unusual and most curious names to the little man   Is your name perhaps Beastrib  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name  ~newline~ Soon afterward the little man came in and asked   Now  Madame Queen  what is my name   ~newline~ shouted the little man  and with anger he stomped his right foot so hard into the ground that he fell in up to his waist 
18,Rumplestiltskin,man,A little man stepped inside and said   Good evening  Mistress Miller  why are you crying so   ~newline~ The little man said   What will you give me if I spin it for you   ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ Once again the door opened  and the little man appeared  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel  ~newline~ When the girl was alone the little man returned for a third time  ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ In return the little man once again spun the straw into gold  ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised   ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ After each one the little man said   That is not my name   ~newline~ She recited the most unusual and most curious names to the little man   Is your name perhaps Beastrib  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name  ~newline~ Soon afterward the little man came in and asked   Now  Madame Queen  what is my name   ~newline~ shouted the little man  and with anger he stomped his right foot so hard into the ground that he fell in up to his waist 
15,Rumplestiltskin,said,Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ The king said to the miller   That is an art that I really like  ~newline~ Giving her a spinning wheel and a reel  he said   Get to work now  ~newline~ A little man stepped inside and said   Good evening  Mistress Miller  why are you crying so   ~newline~ The little man said   What will you give me if I spin it for you   ~newline~  My necklace   said the girl  ~newline~ He said   What will you give me if I spin the straw into gold for you   ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ He said   What will you give me if I spin the straw this time   ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised   ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ After each one the little man said   That is not my name   ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house 
12,Rumplestiltskin,straw,Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ When the girl was brought to him he led her into a room that was entirely filled with straw  ~newline~ Spin all night  and if by morning you have not spun this straw into gold  then you will have to die   ~newline~ She had no idea how to spin straw into gold  ~newline~  Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~ So it went until morning  and then all the straw was spun  and all the spools were filled with gold  ~newline~ He had the miller s daughter taken to another room filled with straw  ~newline~ He said   What will you give me if I spin the straw into gold for you   ~newline~ By morning he had spun all the straw into glistening gold  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ He said   What will you give me if I spin the straw this time   ~newline~ In return the little man once again spun the straw into gold 
11,Rumplestiltskin,name,If by then you know my name  then you shall keep your child   ~newline~ The queen spent the entire night thinking of all the names she had ever heard  ~newline~ Then she sent a messenger into the country to inquire far and wide what other names there were  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ After each one the little man said   That is not my name   ~newline~ The second day she sent inquiries into the neighborhood as to what names people had  ~newline~ She recited the most unusual and most curious names to the little man   Is your name perhaps Beastrib  ~newline~ But he always answered   That is not my name   ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name  ~newline~ You can imagine how happy the queen was when she heard that name  ~newline~ Soon afterward the little man came in and asked   Now  Madame Queen  what is my name   ~newline~ She first asked   Is your name Kunz   ~newline~  Is your name Heinz   ~newline~  Is your name perhaps Rumpelstiltskin  
11,Rumplestiltskin,gold,Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ Spin all night  and if by morning you have not spun this straw into gold  then you will have to die   ~newline~ She had no idea how to spin straw into gold  ~newline~  Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~ So it went until morning  and then all the straw was spun  and all the spools were filled with gold  ~newline~ At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ He said   What will you give me if I spin the straw into gold for you   ~newline~ By morning he had spun all the straw into glistening gold  ~newline~ The king was happy beyond measure when he saw it  but he still did not have his fill of gold  ~newline~ In return the little man once again spun the straw into gold 
9,Rumplestiltskin,spin,Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ Giving her a spinning wheel and a reel  he said   Get to work now  ~newline~ She had no idea how to spin straw into gold  ~newline~  Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~ The little man said   What will you give me if I spin it for you   ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ It was even larger  and he ordered her to spin it in one night  if she valued her life  ~newline~ He said   What will you give me if I spin the straw into gold for you   ~newline~ The little man took the ring  and began once again to whir with the spinning wheel  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ He said   What will you give me if I spin the straw this time  
9,Rumplestiltskin,daughter,  rumpelstiltskin Jacob and Wilhelm grimm Once upon a time there was a miller who was poor  but who had a beautiful daughter  ~newline~ Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ If your daughter is as skillful as you say  then bring her to my castle tomorrow  and I will put her to the test   ~newline~ The poor miller s daughter sat there  and for her life she did not know what to do  ~newline~ He had the miller s daughter taken to another room filled with straw  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ He thought   Even if she is only a miller s daughter  I will not find a richer wife in all the world   ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen 
9,Rumplestiltskin,miller,  rumpelstiltskin Jacob and Wilhelm grimm Once upon a time there was a miller who was poor  but who had a beautiful daughter  ~newline~ The king said to the miller   That is an art that I really like  ~newline~ The poor miller s daughter sat there  and for her life she did not know what to do  ~newline~ He had the miller s daughter taken to another room filled with straw  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ He thought   Even if she is only a miller s daughter  I will not find a richer wife in all the world   ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen 
8,Rumplestiltskin,queen, Then promise me  after you are queen  your first child   ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen  ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ The queen spent the entire night thinking of all the names she had ever heard  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name  ~newline~ You can imagine how happy the queen was when she heard that name 
